Rxn name	Formula	Gene-reaction association	LB	UB	Objective
FRD7	Fumarate[c] + Ubiquinol-8[c] => Ubiquinone-8[c] + Succinate[c] 	b4151 and b4152 and b4153 and b4154	  0.00	1000.00	  0.00
FRUpts2	D-Fructose[e] + Phosphoenolpyruvate[c] => D-Fructose 6-phosphate[c] + Pyruvate[c] 	b1817 and b1818 and b1819 and b2415 and b2416	  0.00	1000.00	  0.00
FUM	Fumarate[c] + H2O H2O[c] <=> L-Malate[c] 	b1612 or b4122 or b1611	-1000.00	1000.00	  0.00
FUMt2_2	Fumarate[e] + 2 H+[e] => Fumarate[c] + 2 H+[c] 	b3528	  0.00	1000.00	  0.00
G6PDH2r	D-Glucose 6-phosphate[c] + Nicotinamide adenine dinucleotide phosphate[c] <=> 6-phospho-D-glucono-1,5-lactone[c] + H+[c] + Nicotinamide adenine dinucleotide phosphate - reduced[c] 	b1852	-1000.00	1000.00	  0.00
GAPD	Glyceraldehyde 3-phosphate[c] + Nicotinamide adenine dinucleotide[c] + Phosphate[c] <=> 3-Phospho-D-glyceroyl phosphate[c] + H+[c] + Nicotinamide adenine dinucleotide - reduced[c] 	b1779	-1000.00	1000.00	  0.00
GLCpts	D-Glucose[e] + Phosphoenolpyruvate[c] => D-Glucose 6-phosphate[c] + Pyruvate[c] 	(b2417 and b1101 and b2415 and b2416) or (b1817 and b1818 and b1819 and b2415 and b2416) or (b2417 and b1621 and b2415 and b2416)	  0.00	1000.00	  0.00
GLNS	ATP C10H12N5O13P3[c] + L-Glutamate[c] + Ammonium[c] => ADP C10H12N5O10P2[c] + L-Glutamine[c] + H+[c] + Phosphate[c] 	b3870 or b1297	  0.00	1000.00	  0.00
GLNabc	ATP C10H12N5O13P3[c] + L-Glutamine[e] + H2O H2O[c] => ADP C10H12N5O10P2[c] + L-Glutamine[c] + H+[c] + Phosphate[c] 	b0811 and b0810 and b0809	  0.00	1000.00	  0.00
GLUDy	L-Glutamate[c] + H2O H2O[c] + Nicotinamide adenine dinucleotide phosphate[c] <=> 2-Oxoglutarate[c] + H+[c] + Nicotinamide adenine dinucleotide phosphate - reduced[c] + Ammonium[c] 	b1761	-1000.00	1000.00	  0.00
